Twitter Handle & User Name,Tweet, external URL,Date of Tweet,Followers,Following,RT,FAV
"Rob_Tychkowski , Rob Tychkowski",b'I think I had romaine lettuce yesterday in San Jose.',no external urls in this tweet,Thu Nov 22 07:33:25 +0000 2018,23138,496,0,7
"CBR , Comic Book Resources",b'#Titans: First Donna Troy Photos Released https://t.co/FHuRR0VEVa https://t.co/ryI8Euvc0B',https://buff.ly/2S9a2yr,Thu Nov 22 07:31:01 +0000 2018,234940,832,10,16
"BestMovieLine , Best Movie Line",b'Pulp Fiction https://t.co/ZKwNHpnmmf',no external urls in this tweet,Thu Nov 22 07:30:40 +0000 2018,493176,38,26,87
"SundayChants , Sunday League Footy",b'That tackle. \\U0001f631 https://t.co/5ksga0YKmm',no external urls in this tweet,Thu Nov 22 07:29:00 +0000 2018,154662,23845,26,53
"spoderbro , my name is might've been","b""*me trying to convince people I understand how Twitter works*\\n\\nMy brain: \\nDon't say it\\nDon't say it\\nDon't say it\\nDo\\u2026 https://t.co/ed3GMwCUDh""",https://twitter.com/i/web/status/1065506923980550146,Thu Nov 22 07:27:01 +0000 2018,315,1667,0,5
"BestMovieLine , Best Movie Line",b'These people got totally burned https://t.co/OsRmhtBXKL',http://twentytwowords.com/these-24-people-totally-got-burned-on-social-media/3/?utm_source=deck&utm_medium=cpc&utm_term=influencer&utm_campaign=DM367,Thu Nov 22 07:15:36 +0000 2018,493176,38,3,4
"DepressedDarth , Darth Vader","b'""Pretty soon I\'m going to join the dark side and force choke you""\\n\\nhttps://t.co/g9p8vIKIuI'",no external urls in this tweet,Thu Nov 22 07:13:26 +0000 2018,817375,314,25,156
"CBR , Comic Book Resources",b'Original Six Avengers Actors Honor Stan Lee with Full-Page Magazine Ad https://t.co/0B8AXJ0gfa https://t.co/XC5cVcPshs',https://buff.ly/2PIIt2f,Thu Nov 22 07:01:02 +0000 2018,234940,832,8,32
"BestMovieLine , Best Movie Line",b'High Fidelity https://t.co/U6f4EAdycu',no external urls in this tweet,Thu Nov 22 07:00:45 +0000 2018,493176,38,76,172
"DepressedDarth , Darth Vader",b'Lightsabers make everything better https://t.co/o80F3oDjh1',no external urls in this tweet,Thu Nov 22 06:51:26 +0000 2018,817375,314,40,96
"BestMovieLine , Best Movie Line","b""Dude, Where's My Car https://t.co/8MsLCl9raN""",no external urls in this tweet,Thu Nov 22 06:45:31 +0000 2018,493176,38,28,103
"PreyanshuKumar , Preyanshu Kumar",b'RT @LukaszukAB: .@jkenney you weren\\u2019t that concerned about Alberta\\u2019s energy industry while you were home in Ottawa and Stelmach and Redford\\u2026',no external urls in this tweet,Thu Nov 22 06:34:10 +0000 2018,206,191,140,0
